filter_name,window,start,end,candidates,triggered,win_rate,avg_pnl,median_pnl,p25_pnl,p75_pnl,max_pnl,min_pnl,status_counts_json
top2_hot_rank1,2020,2020-01-01,2020-12-31,9,9,0.3333333333333333,-2.3957686379089824,-2.1978021978021927,-3.667481662591685,1.073105298457412,2.485632439549481,-7.999999999999989,"{""breakout_failed"": 1, ""max_hold"": 7, ""stop_hit"": 1}"
top2_not_hot_rank1,2020,2020-01-01,2020-12-31,141,112,0.5357142857142857,0.3694808640680926,0.21696694110487308,-2.401596003349516,2.395727687626776,22.702702702702698,-12.140575079872201,"{""breakout_failed"": 8, ""gap_up_skip"": 23, ""limit_up_buy_blocked"": 2, ""max_hold"": 95, ""no_data"": 2, ""stop_hit"": 9, ""weak_open_skip"": 2}"
hot_rank2,2020,2020-01-01,2020-12-31,13,10,0.3,-2.348827716571144,-2.185857620640225,-3.647215596428694,0.323239117710409,2.485632439549481,-7.999999999999989,"{""breakout_failed"": 1, ""gap_up_skip"": 3, ""max_hold"": 8, ""stop_hit"": 1}"
not_hot_rank2,2020,2020-01-01,2020-12-31,208,170,0.5176470588235295,0.24826394026524148,0.1608070519900158,-2.428073496491944,2.399829674860595,22.702702702702698,-12.140575079872201,"{""breakout_failed"": 16, ""gap_up_skip"": 29, ""limit_up_buy_blocked"": 2, ""max_hold"": 141, ""no_data"": 3, ""stop_hit"": 13, ""weak_open_skip"": 4}"
top1_hot_rank2,2020,2020-01-01,2020-12-31,9,7,0.2857142857142857,-2.317810278849719,-2.1978021978021927,-3.6269495302657035,-0.5504038725104228,2.3278370514064033,-7.999999999999989,"{""gap_up_skip"": 2, ""max_hold"": 6, ""stop_hit"": 1}"
top1_not_hot_rank2,2020,2020-01-01,2020-12-31,83,65,0.5538461538461539,0.3108116255410428,0.6930006930006906,-2.1949644932214323,2.6395939086294398,9.794988610478374,-11.167512690355329,"{""breakout_failed"": 4, ""gap_up_skip"": 15, ""max_hold"": 55, ""no_data"": 1, ""stop_hit"": 6, ""weak_open_skip"": 2}"
top2_hot_rank2,2020,2020-01-01,2020-12-31,12,9,0.3333333333333333,-2.3957686379089824,-2.1978021978021927,-3.667481662591685,1.073105298457412,2.485632439549481,-7.999999999999989,"{""breakout_failed"": 1, ""gap_up_skip"": 3, ""max_hold"": 7, ""stop_hit"": 1}"
top2_not_hot_rank2,2020,2020-01-01,2020-12-31,141,113,0.5398230088495575,0.4057903897070253,0.25078369905956693,-2.392344497607647,2.413793103448286,22.702702702702698,-12.140575079872201,"{""breakout_failed"": 8, ""gap_up_skip"": 22, ""limit_up_buy_blocked"": 2, ""max_hold"": 96, ""no_data"": 2, ""stop_hit"": 9, ""weak_open_skip"": 2}"
hot_rank3,2020,2020-01-01,2020-12-31,21,15,0.3333333333333333,-1.9632375723457085,-2.1978021978021927,-4.2271320573207385,1.7004711749319077,7.519999999999996,-7.999999999999992,"{""breakout_failed"": 1, ""gap_up_skip"": 4, ""max_hold"": 12, ""stop_hit"": 2, ""weak_open_skip"": 2}"
not_hot_rank3,2020,2020-01-01,2020-12-31,200,165,0.5212121212121212,0.29191003796706205,0.17793594306049443,-2.392344497607647,2.389705882352939,22.702702702702698,-12.140575079872201,"{""breakout_failed"": 16, ""gap_up_skip"": 28, ""limit_up_buy_blocked"": 2, ""max_hold"": 137, ""no_data"": 3, ""stop_hit"": 12, ""weak_open_skip"": 2}"
top1_hot_rank3,2020,2020-01-01,2020-12-31,13,9,0.4444444444444444,-0.6367438063089719,-2.1739130434782576,-3.586417397939722,2.3278370514064033,7.519999999999996,-7.999999999999989,"{""gap_up_skip"": 2, ""max_hold"": 8, ""stop_hit"": 1, ""weak_open_skip"": 2}"
top1_not_hot_rank3,2020,2020-01-01,2020-12-31,82,65,0.5384615384615384,0.22722776338511919,0.5633802816901414,-2.1949644932214323,2.499999999999991,9.794988610478374,-11.167512690355329,"{""breakout_failed"": 5, ""gap_up_skip"": 15, ""max_hold"": 55, ""no_data"": 1, ""stop_hit"": 5, ""weak_open_skip"": 1}"
top2_hot_rank3,2020,2020-01-01,2020-12-31,18,13,0.38461538461538464,-1.8192423298923959,-2.1978021978021927,-4.582210242587599,2.3278370514064033,7.519999999999996,-7.999999999999992,"{""breakout_failed"": 1, ""gap_up_skip"": 3, ""max_hold"": 10, ""stop_hit"": 2, ""weak_open_skip"": 2}"
top2_not_hot_rank3,2020,2020-01-01,2020-12-31,138,112,0.5357142857142857,0.39550255986382943,0.21696694110487308,-2.4003189792663386,2.395727687626776,22.702702702702698,-12.140575079872201,"{""breakout_failed"": 8, ""gap_up_skip"": 21, ""limit_up_buy_blocked"": 2, ""max_hold"": 96, ""no_data"": 2, ""stop_hit"": 8, ""weak_open_skip"": 1}"
all,2024q4_2025q1,2024-09-01,2025-03-31,142,113,0.4424778761061947,0.787882743500457,-0.4366812227074354,-2.9013539651837594,2.7665317139001355,22.616822429906545,-8.000000000000002,"{""breakout_failed"": 9, ""gap_up_skip"": 22, ""limit_up_buy_blocked"": 3, ""max_hold"": 100, ""stop_hit"": 4, ""weak_open_skip"": 4}"
